company_brand,sector,stage,amount,headquarter,about_company,year,founded,founders,investor,Category
Eggoz,food and beverage food processing,Pre-Seed,175200.0,Indore,Eggoz is a full-stack layer poultry business operator & service provider .,2018,2017,Unknown,Undisclosed,food and beverages
Sqrrl Fintech,big data business intelligence financial services fintech personal finance,Seed,1000000.0,Gurgaon,Personal Finance,2018,2017,Unknown,Undisclosed,technology
GalaxyCard,finance financial services fintech,Seed,0.0,Noida,GalaxyCard is a mobile based Instant credit card.,2018,2017,Unknown,Undisclosed,technology
IndiQube,property,Series A,15000000.0,Bangalore,IndiQube is a provider of co-working spaces based in Bengaluru.,2018,2017,Unknown,Undisclosed,real estate
EGK Foods,food and beverage food processing organic food snack food,Seed,292000.0,Mumbai,A food processing enterprise registered with StartUp India .,2018,2017,Unknown,Undisclosed,food and beverages
NirogStreet,apps health care internet mobile apps personal health,Seed,300000.0,Gurgaon,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,2018,2017,Unknown,Undisclosed,technology
Pixr8,digital media incubators social entrepreneurship,Seed,50000.0,Ghaziabad,Pixr8 is a global media platform dedicated to Start-ups and business organisations for promoting entrepreneurship work.,2018,2017,Unknown,Undisclosed,technology
Nivesh.com,finance financial services marketing,Seed,438000.0,Noida,Nivesh.com is a mass market mutual funds investment platform.,2018,2017,Unknown,Undisclosed,technology
Theranosis Life Sciences,biotechnology health care life science medical device,Seed,0.0,Hyderabad,A fully functioning cell culture facility and molecular biology setup.,2018,2017,Unknown,Undisclosed,technology
Poshmiles Online Solutions Private Limited,travel,Seed,0.0,Bangalore,Poshmiles aims to help point travellers to long weekend trips at popular and undiscovered destinations based on budget & interest.,2018,2017,Unknown,Undisclosed,travel
Reculta,education human resources,Seed,0.0,Noida,A campus recruitment solution provider.,2018,2017,Unknown,Undisclosed,human resources
Orbo.ai,internet,Seed,0.0,Mumbai,Orbo is a computer vision and deep facial technology company.,2018,2017,Unknown,Undisclosed,technology
Inntot Technologies,consumer electronics,Seed,0.0,Kochi,"Inntot Technologies, is a technology driven company.",2018,2017,Unknown,Undisclosed,consumer goods and services
Zoctr Health,apps health care hospital mobile apps,Seed,0.0,Powai,Zoctr Health Network is a first-of-its kind pan-India Home & Telehealth Company,2018,2017,Unknown,Undisclosed,technology
Hey Deedee,delivery service logistics service industry,Seed,481800.0,Mumbai,Hey Deedee is a Mumbai-based company that provides solutions to parcel delivery problems.,2018,2017,Unknown,Undisclosed,mobility and transportation
DigiConnectt Technologys,information services information technology,Seed,125000.0,Bangalore,A technology company focused on introducing products that will accelerate and enhance sales productivity and effectiveness .,2018,2017,Unknown,Undisclosed,technology
Locus.sh,big data data visualization logistics software,Series A,4000000.0,Bangalore,Locus is an intelligent logistics automation platform.,2018,2017,Unknown,Undisclosed,technology
Sports Flashes Pvt. Ltd,basketball cricket cycling esports fitness golf health care hockey sports swimming table tennis volley ball,Seed,1000000.0,New Delhi,"Sports Flashes operates a sports content app that provides sports news, live scores, fantasy gaming, expert views, trivia, and more.",2018,2017,Unknown,Undisclosed,technology
Inc42,media and entertainment news publishing,Seed,0.0,New Delhi,Inc42 is one of the leading tech media publications of India.,2018,2017,Unknown,Undisclosed,technology
Picxy,internet,Seed,130000.0,Guntur,"A stock photo startup based in Amravati, Andhra Pradesh.",2018,2017,Unknown,Undisclosed,technology
Huddle,consulting,Seed,300000.0,Haryana,A coworking incubator Company.,2018,2017,Unknown,Undisclosed,business services
Benepik,human resources,Seed,0.0,Gurgaon,HR Technology start-up.,2018,2017,Unknown,Undisclosed,human resources
Cash Suvidha,finance,Seed,1000000.0,New Delhi,Cash Suvidha is an Digital Lending Platform that provide working capital finance to SMEs and MSMEs in India.,2018,2017,Unknown,Undisclosed,financial services
Smartcoin,big data financial services machine learning predictive analytics,Seed,2000000.0,Bangalore,Providing financial access to the millions of mobile users in India using alternative credit assessment,2018,2017,Unknown,Undisclosed,technology
Carmel Organics,agriculture agtech manufacturing,Series A,0.0,Indore,"Carmel Organics is an India-based herb company engaged in sourcing, processing, and distributing herbal tea ingredients.",2018,2017,Unknown,Undisclosed,technology
Roadcast,Other,Pre-Seed,250000.0,New Delhi,Transforming the way businesses deliver. Work-force & fleet mobility tools.,2018,2017,Unknown,Undisclosed,Other
Printline Media(ThePrint),digital media news publishing,Seed,509540.0,New Delhi,A digital news platform.,2018,2017,Unknown,Undisclosed,technology
